5,44
8,44
10,44
13,44
14,44
7,45
5,46
10,47
7,48
8,48
13,48
14,48
11,16
11,17
11,18
11,19
11,20
11,21
12,16
12,17
12,18
12,19
12,20
12,21
11,9
11,10
12,9
12,10
9,11
9,2
11,2
12,2
9,1
11,1
12,1
9,3
11,3
12,3
9,4
11,4
12,4
9,5
11,5
12,5
9,6
11,6
12,6
9,7
11,7
12,7
9,8
11,8
12,8
9,9
11,9
12,9
9,10
11,10
12,10
9,11
11,11
12,11
9,12
11,12
12,12
9,13
11,13
12,13
9,14
11,14
12,14
9,15
11,15
12,15
9,16
11,16
12,16
9,17
11,17
12,17
9,18
11,18
12,18
9,19
11,19
12,19
9,20
11,20
12,20
9,21
11,21
12,21
9,22
11,22
12,22
9,23
11,23
12,23
9,24
11,24
12,24
9,25
11,25
12,25
5,30
7,30
8,30
10,30
13,30
14,30
5,31
7,31
8,31
10,31
13,31
14,31
5,32
7,32
8,32
10,32
13,32
14,32
5,33
7,33
8,33
10,33
13,33
14,33
5,34
7,34
8,34
10,34
13,34
14,34
5,35
7,35
8,35
10,35
13,35
14,35
5,36
7,36
8,36
10,36
13,36
14,36
5,37
7,37
8,37
10,37
13,37
14,37
5,38
7,38
8,38
10,38
13,38
14,38
5,39
7,39
8,39
10,39
13,39
14,39
5,44
7,44
8,44
10,44
13,44
14,44
5,45
7,45
8,45
10,45
13,45
14,45
5,46
7,46
8,46
10,46
13,46
14,46
5,47
7,47
8,47
10,47
13,47
14,47
5,48
7,48
8,48
10,48
13,48
14,48
5,42
7,42
8,42
10,42
13,42
14,42
5,43
7,43
8,43
10,43
13,43
14,43
